Date	Term	Tweet	Lat	Long	N_followers	Neg
1413098474186	ALCOHOLIC	Guys, this isn't easy for me to say, but I think I might be an alcoholic	33.857868	-117.995542	470.0	0.0
1413098685753	ALCOHOLIC	@Super_Manda512 For shame.  Just tell everyone to suck it out of the fabric! Level: Alcoholic	29.563888	-98.621728	358.0	1.0
1413091881020	ALCOHOLIC	@Influenster: You've got to try these alcoholic alternatives to the #PSL. http://t.co/S5RZZQDBZL http://t.co/yRcsGeCaq5 @leslieherchler	41.672442	-81.273371	138.0	0.0
1413099696473	ALCOHOLIC	@fuckboybobby: Meanwhile im an alcoholic.  Same	47.042694	-122.947543	2442.0	1.0
1413099696473	ALCOHOLIC	@fuckboybobby: Meanwhile im an alcoholic.  Same	47.042694	-122.947543	2442.0	1.0
1413102509728	ALCOHOLIC	Alcoholic. 	41.129487	1.128434	169.0	0.0
1413102547409	ALCOHOLIC	Yeaahh I can be an alcoholic sometimes 	47.381664	-122.253973	49.0	0.0
1413102904253	ALCOHOLIC	Melanie is a racist alcoholic- @em_brods	34.242654	-118.984773	231.0	1.0
1413103901225	ALCOHOLIC	@Rodriguez_2015 @aMexicant @AlcoholicsAnony e rod your alcoholic is showing	33.061643	-110.902284	344.0	0.0
1413105005851	ALCOHOLIC	@beckiidawkins it was the best thing ever, guess you went to town again you alcoholic	54.91426	-1.382681	378.0	0.0
1413106745116	ALCOHOLIC	I'm being an alcoholic for Halloween	33.400663	-111.897722	1428.0	0.0
1413108127799	ALCOHOLIC	@chrisdangg nah I just like... Moved my hand in the wrong place at the wrong time, I'm not the alcoholic type in the clumsy type	39.998026	-105.261114	293.0	0.0
1413108189313	ALCOHOLIC	I am an alcoholic &gt;.&lt;	18.036538	-76.797292	289.0	0.0
1413108939799	ALCOHOLIC	Hi I'm Robert, I'm an alcoholic.	35.283425	139.667301	707.0	0.0
1413109650209	ALCOHOLIC	@natashacameron7 is this why ur an alcoholic recently?	53.391271	-2.917879	191.0	0.0
1413111253708	ALCOHOLIC	@JackAskins8 wow you absolute alcoholic  congrats  proud 	51.338122	-2.978691	1504.0	0.0
1413112326757	ALCOHOLIC	Watch me become an alcoholic during HSC	-34.016709	151.041805	1087.0	0.0
1413113029906	ALCOHOLIC	"@SundayBrunchC4 .. ""You'll never see a bald alcoholic!"" ..?!Give me that gin!!"	53.448124	-2.383234	158.0	0.0
1413114521102	ALCOHOLIC	With who?  Ada deh  (at De' Lande Alcoholic Coffee Bar)  https://t.co/ypYi3tEPWV	-8.70003	115.17756	368.0	0.0
1413115158576	ALCOHOLIC	#Airport #cocktail on my own #alcoholic  @ Amsterdam Airport Schiphol http://t.co/f1sfI8TBGA	52.307753	4.76507	505.0	0.0
1413115193636	ALCOHOLIC	#Airport #cocktail on my own #alcoholic  @ Amsterdam Airport Schiphol http://t.co/uKEqpOLPNz	52.307753	4.76507	505.0	0.0
1413117658324	ALCOHOLIC	@SamTrueman93 Sam's an alcoholic without me	53.410557	-1.334975	302.0	0.0
1413118368974	ALCOHOLIC	@txtfromlastnite: (307): im not letting a little injury get in the way of my alcoholic/drug problems. we ARE getting turnt tonight.	39.422691	-92.445709	705.0	0.0
1413119249414	ALCOHOLIC	@Zach_5Star @Kenan_PD some alcoholic	52.487005	-1.893789	14497.0	0.0
