"date"	"term"	"tweet"	"lat"	"long"	"n_followers"	"date2"	"time"
2014-10-12	"ALCOHOLIC"	"Guys, this isn't easy for me to say, but I think I might be an alcoholic"	33.857868	-117.995542	470	2014-10-12 07:21:14	"07:21"
2014-10-12	"ALCOHOLIC"	"@Super_Manda512 For shame.  Just tell everyone to suck it out of the fabric! Level: Alcoholic"	29.563888	-98.621728	358	2014-10-12 07:24:45	"07:24"
2014-10-12	"ALCOHOLIC"	"@Influenster: You've got to try these alcoholic alternatives to the #PSL. http://t.co/S5RZZQDBZL http://t.co/yRcsGeCaq5 @leslieherchler"	41.672442	-81.273371	138	2014-10-12 05:31:21	"05:31"
2014-10-12	"ALCOHOLIC"	"\"@fuckboybobby: Meanwhile im an alcoholic\".  Same"	47.042694	-122.947543	2442	2014-10-12 07:41:36	"07:41"
2014-10-12	"ALCOHOLIC"	"\"@fuckboybobby: Meanwhile im an alcoholic\".  Same"	47.042694	-122.947543	2442	2014-10-12 07:41:36	"07:41"
2014-10-12	"ALCOHOLIC"	"Alcoholic."	41.129487	1.128434	169	2014-10-12 08:28:29	"08:28"
2014-10-12	"ALCOHOLIC"	"Yeaahh I can be an alcoholic sometimes"	47.381664	-122.253973	49	2014-10-12 08:29:07	"08:29"
2014-10-12	"ALCOHOLIC"	"\"Melanie is a racist alcoholic\"- @em_brods"	34.242654	-118.984773	231	2014-10-12 08:35:04	"08:35"
2014-10-12	"ALCOHOLIC"	"@Rodriguez_2015 @aMexicant @AlcoholicsAnony e rod your alcoholic is showing"	33.061643	-110.902284	344	2014-10-12 08:51:41	"08:51"
2014-10-12	"ALCOHOLIC"	"@beckiidawkins it was the best thing ever, guess you went to town again you alcoholic"	54.91426	-1.382681	378	2014-10-12 09:10:05	"09:10"
2014-10-12	"ALCOHOLIC"	"I'm being an alcoholic for Halloween"	33.400663	-111.897722	1428	2014-10-12 09:39:05	"09:39"
2014-10-12	"ALCOHOLIC"	"@chrisdangg nah I just like... Moved my hand in the wrong place at the wrong time, I'm not the alcoholic type in the clumsy type"	39.998026	-105.261114	293	2014-10-12 10:02:07	"10:02"
2014-10-12	"ALCOHOLIC"	"I am an alcoholic &gt;.&lt;"	18.036538	-76.797292	289	2014-10-12 10:03:09	"10:03"
2014-10-12	"ALCOHOLIC"	"Hi I'm Robert, I'm an alcoholic."	35.283425	139.667301	707	2014-10-12 10:15:39	"10:15"
2014-10-12	"ALCOHOLIC"	"@natashacameron7 is this why ur an alcoholic recently?"	53.391271	-2.917879	191	2014-10-12 10:27:30	"10:27"
2014-10-12	"ALCOHOLIC"	"@JackAskins8 wow you absolute alcoholic  congrats  proud"	51.338122	-2.978691	1504	2014-10-12 10:54:13	"10:54"
2014-10-12	"ALCOHOLIC"	"Watch me become an alcoholic during HSC"	-34.016709	151.041805	1087	2014-10-12 11:12:06	"11:12"
2014-10-12	"ALCOHOLIC"	"@SundayBrunchC4 .. \"You'll never see a bald alcoholic!\" ..?!Give me that gin!!"	53.448124	-2.383234	158	2014-10-12 11:23:49	"11:23"
